PlayerID,PlayerName,Team,Season,GamesPlayed,AvgMinutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FieldGoalPct,FreeThrowPct,ThreePointPct,ThreePointersMade,ThreePointAttempts,FieldGoalsMade,FieldGoalAttempts,FreeThrowsMade,FreeThrowAttempts,TrueShootingPct,UsageRate
202331,Paul George,IND,2016-17,75,35.9,23.7,6.6,3.3,1.6,0.4,2.9,0.461,0.898,0.393,2.6,6.6,8.3,18.0,4.5,5.0,0.587,0.287
200794,Paul Millsap,ATL,2016-17,69,34.0,18.1,7.7,3.7,1.3,0.9,2.3,0.442,0.768,0.311,1.1,3.5,6.2,14.1,4.5,5.9,0.542,0.241
200765,Rajon Rondo,CHI,2016-17,69,26.7,7.8,5.1,6.7,1.4,0.2,2.4,0.408,0.6,0.376,0.7,1.9,3.3,8.1,0.4,0.7,0.461,0.174
202704,Reggie Jackson,DET,2016-17,52,27.4,14.5,2.2,5.2,0.7,0.1,2.2,0.419,0.868,0.359,1.3,3.5,5.5,13.0,2.3,2.6,0.51,0.261
201937,Ricky Rubio,MIN,2016-17,75,32.9,11.1,4.1,9.1,1.7,0.1,2.6,0.402,0.891,0.306,0.8,2.6,3.5,8.7,3.4,3.8,0.539,0.171
203496,Robert Covington,PHI,2016-17,67,31.6,12.9,6.5,1.5,1.9,1.0,2.0,0.399,0.822,0.333,2.0,6.1,4.4,10.9,2.1,2.6,0.534,0.188
201577,Robin Lopez,CHI,2016-17,81,28.0,10.4,6.4,1.0,0.2,1.4,1.1,0.493,0.721,0.0,0.0,0.0,4.7,9.6,0.9,1.3,0.511,0.172
203918,Rodney Hood,UTA,2016-17,59,27.0,12.7,3.4,1.6,0.6,0.2,1.1,0.408,0.783,0.371,1.9,5.2,4.6,11.3,1.5,1.9,0.522,0.227
203585,Rodney McGruder,MIA,2016-17,78,25.2,6.4,3.3,1.6,0.6,0.2,0.7,0.413,0.62,0.332,0.9,2.8,2.4,5.9,0.6,0.9,0.506,0.123
200752,Rudy Gay,SAC,2016-17,30,33.8,18.7,6.3,2.8,1.5,0.9,2.5,0.455,0.855,0.372,1.4,3.8,6.7,14.7,3.9,4.6,0.559,0.246
203497,Rudy Gobert,UTA,2016-17,81,33.9,14.0,12.8,1.2,0.6,2.6,1.8,0.661,0.653,0.0,0.0,0.0,5.1,7.7,3.8,5.9,0.681,0.166
201566,Russell Westbrook,OKC,2016-17,81,34.6,31.6,10.7,10.4,1.6,0.4,5.4,0.425,0.845,0.343,2.5,7.2,10.2,24.0,8.8,10.4,0.554,0.402
201583,Ryan Anderson,HOU,2016-17,72,29.4,13.6,4.6,0.9,0.4,0.2,0.8,0.418,0.86,0.403,2.8,7.0,4.5,10.7,1.8,2.1,0.583,0.178
203930,Sean Kilpatrick,BKN,2016-17,70,25.1,13.1,4.0,2.2,0.6,0.1,1.9,0.415,0.843,0.341,1.5,4.4,4.4,10.5,2.9,3.5,0.546,0.232
201586,Serge Ibaka,TOR,2016-17,79,30.7,14.8,6.8,0.9,0.5,1.6,1.3,0.48,0.856,0.391,1.6,4.0,6.0,12.4,1.4,1.6,0.566,0.208
203552,Seth Curry,DAL,2016-17,70,29.0,12.8,2.6,2.7,1.1,0.1,1.3,0.481,0.85,0.425,2.0,4.6,4.8,10.0,1.2,1.4,0.601,0.193
203524,Solomon Hill,NOP,2016-17,80,29.7,7.0,3.8,1.8,0.9,0.4,1.0,0.383,0.805,0.348,1.2,3.4,2.3,6.0,1.3,1.6,0.527,0.114
201939,Stephen Curry,GSW,2016-17,79,33.4,25.3,4.5,6.6,1.8,0.2,3.0,0.468,0.898,0.411,4.1,10.0,8.5,18.3,4.1,4.6,0.624,0.286
203500,Steven Adams,OKC,2016-17,80,29.9,11.3,7.7,1.1,1.1,1.0,1.8,0.571,0.611,0.0,0.0,0.0,4.7,8.2,2.0,3.2,0.589,0.159
204456,T.J. McConnell,PHI,2016-17,81,26.3,6.9,3.1,6.6,1.7,0.1,2.0,0.461,0.811,0.2,0.1,0.7,2.9,6.3,0.9,1.1,0.504,0.142
203933,T.J. Warren,PHX,2016-17,66,31.0,14.4,5.1,1.1,1.2,0.6,0.9,0.495,0.773,0.265,0.4,1.5,6.1,12.3,1.8,2.3,0.539,0.188
201959,Taj Gibson,OKC,2016-17,78,25.5,10.8,6.2,0.9,0.5,0.8,1.3,0.515,0.715,0.231,0.0,0.2,4.7,9.1,1.4,2.0,0.543,0.188
203082,Terrence Ross,ORL,2016-17,78,25.1,11.0,2.6,1.1,1.1,0.4,0.9,0.437,0.831,0.363,1.8,5.0,4.2,9.6,0.8,1.0,0.55,0.185
200757,Thabo Sefolosha,ATL,2016-17,62,25.7,7.2,4.4,1.7,1.5,0.5,0.9,0.441,0.733,0.342,0.7,1.9,2.8,6.4,0.9,1.2,0.519,0.131
201152,Thaddeus Young,IND,2016-17,74,30.2,11.0,6.1,1.6,1.5,0.4,1.3,0.527,0.523,0.381,0.6,1.6,4.9,9.3,0.6,1.2,0.562,0.163
